Planet Name,Host Name,Number of Stars,Number of Planets,Number of Moons,Discovery Method,Discovery Year,Discovery Telescope,Discovery Instrument,Controversial Flag,Orbital Period [days],Orbit Semi-Major Axis [au],Planet Radius [Earth Radius],Planet Radius [Jupiter Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Jupiter Mass],Planet Density [g/cm**3],Eccentricity,Insolation Flux [Earth Flux],Equilibrium Temperature [K],Data show Transit Timing Variations,Impact Parameter,Transit Duration [hours],Ratio of Planet to Stellar Radius,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr],Stellar Density [g/cm**3],RA [sexagesimal],RA [deg],Dec [sexagesimal],Dec [deg],Distance [pc]
Kepler-1070 b,Kepler-1070,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,6.2216147,0.0693,1.73,0.154,3.64,0.0115,3.86,0.0,380.13,1101.0,0,0.1424,3.2606,0.01211,6261.0,1.32,1.21,0.285,4.27,2.75,1.52693,19h32m46.89s,293.1953923,+49d18m59.55s,49.316541,939.001
Kepler-1071 b,Kepler-1071,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,6.1799844,0.0615,2.38,0.212,6.26,0.0197,2.55,0.0,45.12,814.0,0,0.01,2.1059,0.02729,5215.0,0.81,0.86,-0.313,4.56,4.27,5.7186,19h32m13.92s,293.0579794,+45d14m55.49s,45.2487472,1042.27
Kepler-1072 b,Kepler-1072,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,1.5690665,0.0269,1.58,0.141,3.12,0.00982,4.35,0.0,2944.0,1849.0,0,0.716,2.7835,0.01131,6199.0,1.32,1.2,0.365,4.27,2.88,0.63932,19h28m10.65s,292.0443891,+46d19m44.30s,46.3289723,982.716
Kepler-1073 b,Kepler-1073,1,3,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,8.67888593,0.0805,2.3,0.205,5.9,0.0186,2.66,0.0,128.55,905.0,0,0.7,3.4818,0.02143,5792.0,1.0,1.0,-0.01,4.44,3.72,1.84858,19h36m36.65s,294.1527259,+38d13m59.12s,38.2330886,809.897
Kepler-1073 c,Kepler-1073,1,3,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,4.02582254,0.0483,1.64,0.146,3.33,0.0105,4.15,0.0,357.08,1169.0,0,0.017,2.7665,0.01512,5792.0,1.0,1.0,-0.01,4.44,3.72,1.61174,19h36m36.65s,294.1527259,+38d13m59.12s,38.2330886,809.897
Kepler-1073 d,Kepler-1073,1,3,0,Transit,2021,0.95 m Kepler Telescope,Kepler CCD Array,0,2.50476003,0.0352,1.488,0.133,2.82,0.00887,4.71,0.0,828.59,1369.0,0,0.13,2.523,0.01214,5509.0,1.12,0.92,-0.01,4.31,3.72,1.60584,19h36m36.65s,294.1527259,+38d13m59.12s,38.2330886,809.897
Kepler-1074 b,Kepler-1074,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,5.94566534,0.0536,1.25,0.112,2.1,0.0066,5.91,0.0,27.57,568.0,0,0.229,2.1737,0.01984,4002.0,0.57,0.6,-1.121,4.7,3.55,3.87226,18h57m54.40s,284.4766869,+46d15m09.64s,46.2526781,250.817
Kepler-1075 b,Kepler-1075,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,1.52372816,0.0208,1.42,0.127,2.6,0.00819,4.99,0.0,143.97,818.0,0,0.84,1.4652,0.02353,3959.0,0.54,0.56,-1.113,4.72,2.95,3.91647,19h10m00.27s,287.5011404,+47d28m08.82s,47.4691157,291.275
Kepler-1076 b,Kepler-1076,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,6.14727918,0.0611,0.8,0.071,0.437,0.00137,4.69,0.0,83.18,770.0,0,0.5,2.7627,0.01,4868.0,0.74,0.79,-0.557,4.6,3.72,2.40067,19h10m21.66s,287.5902594,+51d03m38.18s,51.0606047,199.0
Kepler-1077 b,Kepler-1077,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,34.3511874,0.2101,2.77,0.247,8.1,0.0255,2.09,0.0,26.93,576.0,0,0.88,4.222,0.025,5816.0,1.02,1.02,0.006,4.43,4.17,1.43617,19h24m08.07s,291.0336333,+42d16m04.24s,42.2678448,1101.42
Kepler-1078 b,Kepler-1078,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,3.00725242,0.0388,1.9,0.17,4.27,0.0134,3.42,0.0,373.99,1122.0,0,0.769,4.336,0.01886,5612.0,0.92,0.94,0.5,4.49,4.37,0.03994,19h32m48.14s,293.2005664,+43d03m00.14s,43.0500379,2481.71
Kepler-1079 b,Kepler-1079,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,13.24503188,0.1092,1.63,0.145,3.29,0.0104,4.17,0.0,195.35,887.0,0,0.0777,4.367,0.01133,5758.0,1.36,1.08,0.263,4.21,6.61,0.8915,19h58m11.90s,299.5495794,+45d46m10.84s,45.7696769,591.098
Kepler-108 b,Kepler-108,2,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,49.183921,0.292,8.65,0.772,56.0,0.176,0.475,0.22,47.4,669.0,0,0.03,11.277,0.03754,5854.0,2.19,1.25,0.707,3.9,3.89,0.24339,19h38m14.16s,294.5589885,+46d03m44.62s,46.0623952,338.732
Kepler-108 c,Kepler-108,2,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,190.323494,0.721,8.18,0.73,50.9,0.16,0.511,0.04,7.8,426.0,1,0.81,15.7,0.03297,5854.0,2.19,1.25,0.707,3.9,3.89,0.12445,19h38m14.16s,294.5589885,+46d03m44.62s,46.0623952,338.732
Kepler-1080 b,Kepler-1080,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,77.2548396,0.3781,3.28,0.293,10.8,0.0339,1.68,0.0,55.45,548.0,0,0.9186,10.294,0.02558,5956.0,1.16,1.1,0.861,4.35,3.89,0.11728,19h45m51.48s,296.4644914,+49d10m58.42s,49.1828952,1382.82
Kepler-1081 b,Kepler-1081,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,3.85691855,0.0466,1.01,0.09,1.01,0.00317,5.39,0.0,225.22,972.0,0,0.1132,1.9839,0.01097,5345.0,0.84,0.88,-0.306,4.54,4.68,4.23374,19h17m46.74s,289.444752,+41d19m04.67s,41.3179652,420.215
Kepler-1082 b,Kepler-1082,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,1.5432066,0.0257,1.12,0.1,1.46,0.00459,5.71,0.0,2949.56,1827.0,0,0.83,2.6094,0.00878,5923.0,1.14,1.03,0.314,4.33,5.75,0.56168,19h17m26.08s,289.3586737,+50d35m54.42s,50.5984489,739.557
Kepler-1083 b,Kepler-1083,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,33.4177993,0.1899,3.36,0.3,11.2,0.0354,1.62,0.0,10.15,448.0,0,0.913,4.549,0.03952,5049.0,0.77,0.81,-0.473,4.58,4.68,0.45058,18h52m38.85s,283.1618831,+45d11m54.01s,45.198336,902.633
Kepler-1084 b,Kepler-1084,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,2.05333679,0.0324,1.11,0.099,1.41,0.00444,5.67,0.0,1766.59,1737.0,0,0.813,2.3751,0.0076,6113.0,1.28,1.12,0.253,4.27,4.07,0.55994,19h20m24.48s,290.1019809,+48d15m04.13s,48.251146,405.533
Kepler-1085 b,Kepler-1085,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,219.3217528,0.7391,7.22,0.644,41.2,0.13,0.602,0.0,2.06,313.0,0,0.244,12.358,0.05814,6000.0,1.14,1.11,0.079,4.37,3.39,1.04654,19h09m54.63s,287.4776359,+46d08m28.21s,46.1411685,1364.53
Kepler-1085 c,Kepler-1085,1,2,0,Transit,2020,0.95 m Kepler Telescope,Kepler CCD Array,0,56.7771,0.3002,3.268,0.292,10.7,0.0337,1.68,0.0,13.74,491.0,0,0.3053,6.538,0.02826,5816.0,1.08,1.05,0.079,4.39,0.3,1.18069,19h09m54.63s,287.4776359,+46d08m28.21s,46.1411685,1364.53
Kepler-1086 b,Kepler-1086,2,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,18.78425728,0.1198,2.44,0.218,6.53,0.0205,2.47,0.0,9.16,433.0,0,0.658,3.2339,0.03402,4350.0,0.66,0.7,-0.86,4.65,2.88,1.71384,19h41m00.28s,295.251187,+45d50m34.63s,45.8429537,466.084
Kepler-1086 c,Kepler-1086,2,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,161.5163345,0.503,2.94,0.262,8.96,0.0282,1.94,0.0,0.52,211.0,0,0.2865,6.456,0.04097,4350.0,0.66,0.7,-0.86,4.65,2.88,5.07372,19h41m00.28s,295.251187,+45d50m34.63s,45.8429537,466.084
Kepler-1087 b,Kepler-1087,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,0.69384285,0.0148,0.61,0.054,0.165,0.00052,3.99,0.0,3496.49,2161.0,0,0.693,1.5236,0.00646,5589.0,0.94,0.96,-0.097,4.48,3.55,1.02574,19h39m54.94s,294.9789253,+46d00m20.43s,46.0056741,362.623
Kepler-1088 b,Kepler-1088,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,23.12748644,0.1602,1.42,0.127,2.6,0.00819,4.99,0.0,44.89,667.0,0,0.3931,4.923,0.0118,5975.0,1.08,1.08,0.09,4.4,3.02,1.20451,18h46m14.75s,281.5614578,+42d27m01.47s,42.4504087,280.629
Kepler-1089 b,Kepler-1089,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,5.13248562,0.0497,1.83,0.163,4.01,0.0126,3.6,0.0,26.27,584.0,0,0.217,1.631,0.034,3753.0,0.49,0.52,-1.297,4.76,3.72,4.5352,19h24m22.24s,291.0926509,+49d11m24.62s,49.1901729,259.328
Kepler-109 b,Kepler-109,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,6.4816307,0.0701,2.49,0.222,4.9,0.01542,1.7,0.11,442.0,1276.0,0,0.58,3.649,0.01686,5950.0,1.39,1.09,0.347,4.21,6.2,0.65,19h21m34.24s,290.3926795,+40d17m05.67s,40.2849074,474.861
Kepler-109 c,Kepler-109,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,21.22265,0.1546,2.65,0.236,8.2,0.0258,2.4,0.098,91.0,859.0,0,0.16,6.4913,0.01734,5950.0,1.39,1.09,0.347,4.21,6.2,0.65,19h21m34.24s,290.3926795,+40d17m05.67s,40.2849074,474.861
Kepler-1090 b,Kepler-1090,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,198.680179,0.6364,2.25,0.201,5.69,0.0179,2.74,0.0,1.83,297.0,0,0.3376,8.287,0.02538,5321.0,0.82,0.86,-0.146,4.55,4.37,2.67261,19h42m39.10s,295.6629002,+44d31m32.97s,44.5258237,858.77
Kepler-1090 c,Kepler-1090,1,2,0,Transit,2021,0.95 m Kepler Telescope,Kepler CCD Array,0,42.42720032,0.2274,3.293,0.294,10.9,0.0342,1.68,0.0,14.33,496.0,0,0.962,6.133,0.02845,5330.0,1.01,0.87,-0.146,4.37,14.0,0.08951,19h42m39.10s,295.6629002,+44d31m32.97s,44.5258237,858.77
Kepler-1091 b,Kepler-1091,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,1.43474156,0.0252,1.46,0.13,2.73,0.00859,4.82,0.0,1740.86,1664.0,0,0.28,1.8811,0.0133,5851.0,1.03,1.01,0.08,4.42,3.47,1.94361,19h59m08.51s,299.7854426,+43d40m14.60s,43.6707235,914.299
Kepler-1092 b,Kepler-1092,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,58.6017925,0.2996,2.07,0.185,4.94,0.0155,3.06,0.0,17.02,508.0,0,0.392,5.543,0.01934,5862.0,1.0,0.99,0.096,4.44,3.8,2.4381,19h50m53.57s,297.7232008,+47d06m45.66s,47.1126833,981.233
Kepler-1093 b,Kepler-1093,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,25.0824626,0.1685,1.95,0.174,4.46,0.014,3.31,0.0,85.76,776.0,0,0.119,6.357,0.01476,6166.0,1.2,1.13,0.46,4.33,2.95,0.84334,18h59m54.73s,284.9780251,+41d25m12.75s,41.4202077,1072.88
Kepler-1093 c,Kepler-1093,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,89.722292,0.394,1.96,0.175,4.5,0.0142,3.28,0.0,15.69,508.0,0,0.5959,10.678,0.01507,6166.0,1.2,1.13,0.46,4.33,2.95,0.34497,18h59m54.73s,284.9780251,+41d25m12.75s,41.4202077,1072.88
Kepler-1094 b,Kepler-1094,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,78.1000231,0.3625,3.18,0.284,10.2,0.0322,1.74,0.0,10.34,480.0,0,0.85,8.322,0.02444,6112.0,1.21,1.14,0.178,4.33,3.09,0.96152,19h29m12.29s,292.3012109,+38d16m01.19s,38.2669983,1291.01
Kepler-1095 b,Kepler-1095,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,4.27103091,0.0514,1.21,0.108,1.92,0.00606,5.96,0.0,356.54,1108.0,0,0.0023,2.2736,0.01249,5658.0,0.92,0.94,-0.093,4.48,4.47,3.18914,19h33m02.98s,293.2624215,+41d21m54.06s,41.3650155,792.522
Kepler-1096 b,Kepler-1096,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,2.89221751,0.034,1.24,0.111,2.07,0.00651,5.97,0.0,124.87,794.0,0,0.4795,1.3657,0.01796,4306.0,0.63,0.66,-0.84,4.66,3.8,6.95894,19h38m50.27s,294.7094688,+45d58m10.39s,45.9695533,377.976
Kepler-1097 b,Kepler-1097,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,187.747029,0.5791,3.26,0.291,10.7,0.0336,1.7,0.0,1.3,267.0,1,0.2898,5.408,0.03792,5211.0,0.79,0.82,-0.404,4.57,4.9,8.63421,18h46m22.59s,281.5941261,+42d35m47.02s,42.5963949,719.802
Kepler-1098 b,Kepler-1098,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,2.54307286,0.0358,1.3,0.116,2.24,0.00705,5.6,0.0,995.67,1319.0,0,0.83,2.7494,0.01174,5794.0,0.99,0.99,0.157,4.45,3.98,0.90721,19h42m00.64s,295.502673,+43d13m57.72s,43.2326992,1049.19
Kepler-1099 b,Kepler-1099,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,2.16845259,0.0337,2.83,0.252,8.4,0.0264,2.04,0.0,766.34,1558.0,0,0.95,1.6611,0.02567,5837.0,1.0,1.01,-0.119,4.45,3.63,5.9055,19h15m00.00s,288.7499866,+48d16m37.62s,48.2771163,1022.8
Kepler-11 b,Kepler-11,1,6,0,Transit,2010,0.95 m Kepler Telescope,Kepler CCD Array,0,10.3039,0.091,1.8,0.161,1.9,0.006,1.72,0.045,146.36,849.0,1,0.116,4.116,0.01563,5663.0,1.06,0.96,0.12,4.37,8.5,1.122,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.346
Kepler-11 c,Kepler-11,1,6,0,Transit,2010,0.95 m Kepler Telescope,Kepler CCD Array,0,13.0241,0.107,2.87,0.256,2.9,0.009,0.66,0.026,107.22,786.0,1,0.156,4.544,0.02496,5663.0,1.06,0.96,0.12,4.37,8.5,1.122,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.346
Kepler-11 d,Kepler-11,1,6,0,Transit,2010,0.95 m Kepler Telescope,Kepler CCD Array,0,22.6845,0.155,3.12,0.278,7.3,0.023,1.28,0.004,51.12,653.0,1,0.181,5.586,0.02714,5663.0,1.06,0.96,0.12,4.37,8.5,1.122,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.346
Kepler-11 e,Kepler-11,1,6,0,Transit,2010,0.95 m Kepler Telescope,Kepler CCD Array,0,31.9996,0.195,4.19,0.374,8.0,0.025,0.58,0.012,32.34,582.0,1,0.763,4.165,0.03643,5663.0,1.06,0.96,0.12,4.37,8.5,1.122,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.346
Kepler-11 f,Kepler-11,1,6,0,Transit,2010,0.95 m Kepler Telescope,Kepler CCD Array,0,46.6888,0.25,2.49,0.222,2.0,0.006,0.69,0.013,19.53,513.0,1,0.463,6.431,0.02169,5663.0,1.06,0.96,0.12,4.37,8.5,1.122,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.346
Kepler-11 g,Kepler-11,1,6,0,Transit,2010,0.95 m Kepler Telescope,Kepler CCD Array,0,118.3807,0.466,3.33,0.297,25.0,0.079,4.0,0.15,5.65,376.0,1,0.217,9.469,0.02899,5663.0,1.06,0.96,0.12,4.37,8.5,1.122,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.346
Kepler-110 b,Kepler-110,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,12.691112,0.107,1.83,0.163,4.01,0.0126,3.6,0.0,153.88,1008.0,1,0.13,3.755,0.01471,5960.0,1.15,1.07,0.276,4.33,4.47,0.79317,19h31m43.00s,292.9291693,+48d36m10.19s,48.6028303,586.531
Kepler-110 c,Kepler-110,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,31.719775,0.198,2.21,0.197,5.52,0.0174,2.81,0.0,45.34,743.0,1,0.01,4.823,0.01758,5960.0,1.15,1.07,0.276,4.33,4.47,0.79317,19h31m43.00s,292.9291693,+48d36m10.19s,48.6028303,586.531
Kepler-1100 b,Kepler-1100,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,6.42200058,0.0684,1.75,0.156,3.71,0.0117,3.8,0.0,238.51,1000.0,0,0.281,2.6602,0.01189,6247.0,1.34,1.21,0.088,4.26,2.69,2.85412,19h27m29.12s,291.8713535,+44d05m14.61s,44.0873907,693.618
Kepler-1101 b,Kepler-1101,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,81.3151059,0.3483,2.47,0.22,6.66,0.021,2.43,0.0,3.58,393.0,0,0.1394,5.762,0.02534,5614.0,0.91,0.94,-0.351,4.5,4.27,3.7581,19h38m16.65s,294.5693544,+45d40m16.18s,45.6711623,742.473
Kepler-1102 b,Kepler-1102,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,51.3285623,0.2731,2.66,0.237,7.56,0.0238,2.21,0.0,22.98,546.0,0,0.836,9.439,0.02562,5724.0,0.94,0.96,0.139,4.48,4.37,0.31768,18h45m17.42s,281.3225917,+48d03m59.38s,48.0664955,1246.05
Kepler-1103 b,Kepler-1103,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,19.79191978,0.1473,2.27,0.203,5.77,0.0182,2.71,0.0,160.28,736.0,0,0.1885,3.172,0.01811,6092.0,1.15,1.11,0.522,4.36,3.31,5.24102,19h09m31.71s,287.3821348,+49d27m08.73s,49.4524247,1331.92
Kepler-1104 b,Kepler-1104,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,5.03728015,0.0628,1.23,0.11,2.04,0.00642,6.02,0.0,813.52,1321.0,0,0.1647,1.8848,0.00819,6417.0,1.41,1.3,0.514,4.25,2.04,0.61522,19h37m52.44s,294.4685197,+49d19m51.52s,49.3309789,530.658
Kepler-1105 b,Kepler-1105,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,4.42157218,0.0471,2.01,0.179,4.7,0.0148,3.18,0.0,47.18,729.0,0,0.7437,2.0749,0.0268,4299.0,0.68,0.71,-0.945,4.62,8.71,0.66228,18h44m26.82s,281.1117588,+42d27m17.89s,42.4549698,318.004
Kepler-1106 b,Kepler-1106,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,1.25275217,0.0239,1.65,0.147,3.36,0.0106,4.11,0.0,2399.97,2199.0,0,0.328,2.0755,0.01337,6104.0,1.17,1.11,0.159,4.35,3.09,0.89491,19h24m34.84s,291.1451576,+44d03m44.90s,44.0624715,1090.7
Kepler-1107 b,Kepler-1107,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,0.57103852,0.0126,1.34,0.12,2.36,0.00742,5.39,0.0,2387.26,1897.0,0,0.65,1.042,0.01458,5268.0,0.82,0.86,-0.417,4.55,4.47,4.56279,19h24m11.98s,291.049934,+39d08m30.03s,39.141674,428.798
Kepler-1108 b,Kepler-1108,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,4.51005748,0.0511,1.46,0.13,2.73,0.00859,4.82,0.0,206.41,1063.0,0,0.1523,2.1605,0.01582,5406.0,0.84,0.88,-0.258,4.54,4.17,3.82916,19h44m10.15s,296.0422962,+45d59m06.50s,45.98514,767.701
Kepler-1109 b,Kepler-1109,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,37.6467384,0.2466,2.19,0.195,5.43,0.0171,2.84,0.0,11.38,787.0,0,0.3661,6.117,0.01912,5893.0,1.06,1.05,-0.076,4.41,3.8,1.31457,19h26m35.10s,291.6462654,+39d23m47.80s,39.3966122,685.087
Kepler-111 b,Kepler-111,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,3.341815,0.046,1.58,0.141,3.12,0.00982,4.35,0.0,677.5,1356.0,1,0.01,2.769,0.01179,5952.0,1.16,1.17,0.195,4.38,2.3,0.88106,19h26m36.76s,291.653163,+44d41m17.74s,44.6882613,657.223
Kepler-111 c,Kepler-111,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,224.77833,0.751,7.084,0.632,222.47988,0.7,3.42,0.176,2.48,352.0,1,0.65,11.13,0.0568,5914.0,1.15,1.12,0.158,4.37,3.4,1.05,19h26m36.76s,291.653163,+44d41m17.74s,44.6882613,657.223
Kepler-1110 b,Kepler-1110,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,9.69312032,0.0754,2.66,0.237,7.56,0.0238,2.21,0.0,43.14,609.0,0,0.534,2.759,0.0347,4781.0,0.7,0.73,-0.637,4.62,4.79,2.74996,19h27m13.94s,291.8080645,+38d37m21.58s,38.6226615,726.828
Kepler-1111 b,Kepler-1111,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,8.79617863,0.0872,2.0,0.178,4.66,0.0147,3.2,0.0,118.52,938.0,0,0.0655,3.3986,0.01639,6077.0,1.15,1.1,-0.09,4.36,3.16,1.97461,19h41m51.22s,295.4634045,+45d48m45.97s,45.8127697,841.536
Kepler-1112 b,Kepler-1112,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,14.36267939,0.1239,3.02,0.269,9.38,0.0295,1.87,0.0,254.96,918.0,0,0.798,4.6255,0.01811,6496.0,1.54,1.34,0.542,4.19,2.09,1.11353,19h47m52.51s,296.9687937,+47d45m05.33s,47.7514799,1671.28
Kepler-1113 b,Kepler-1113,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,42.3004954,0.2415,2.81,0.251,8.3,0.0261,2.06,0.0,22.85,558.0,0,0.1676,4.398,0.02177,5931.0,1.17,1.12,0.08,4.35,3.55,4.29644,19h17m37.61s,289.4066969,+39d20m19.73s,39.338813,1073.88
Kepler-1114 b,Kepler-1114,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,14.97435694,0.1102,1.35,0.12,2.39,0.00752,5.34,0.0,39.32,631.0,0,0.2656,2.4309,0.01495,5374.0,0.83,0.87,-0.293,4.55,4.27,8.90485,19h56m56.89s,299.2370531,+45d50m05.20s,45.8347781,418.417
Kepler-1115 b,Kepler-1115,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,23.5540725,0.2134,1.7,0.152,3.53,0.0111,3.95,0.0,516.1,1381.0,0,0.827,7.159,0.00869,8480.0,1.73,1.6,1.254,4.17,1.12,0.53077,19h39m58.03s,294.9917723,+40d08m39.83s,40.1443964,983.245
Kepler-1116 b,Kepler-1116,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,41.6977827,0.233,2.54,0.227,6.99,0.022,2.34,0.0,15.79,488.0,0,0.862,5.423,0.02491,5641.0,0.93,0.95,-0.147,4.48,4.9,2.25165,19h27m44.08s,291.9336573,+44d06m55.80s,44.1154992,1008.57
Kepler-1117 b,Kepler-1117,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,4.79028459,0.0546,1.11,0.099,1.41,0.00444,5.67,0.0,194.98,938.0,0,0.84,2.7287,0.01115,5612.0,0.93,0.95,-0.224,4.49,4.27,1.98241,19h28m20.35s,292.0847866,+49d14m14.71s,49.2374206,568.487
Kepler-1118 b,Kepler-1118,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,38.6715075,0.2079,2.74,0.244,7.95,0.025,2.12,0.0,20.01,502.0,0,0.79,5.567,0.02563,5688.0,0.97,0.96,-0.06,4.46,4.07,0.58519,19h59m51.76s,299.9656619,+44d09m39.17s,44.1608805,888.325
Kepler-1119 b,Kepler-1119,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,8.3265153,0.0812,1.92,0.171,4.35,0.0137,3.38,0.0,182.69,938.0,0,0.819,5.383,0.01541,6083.0,1.17,1.11,0.486,4.35,3.09,0.45899,19h48m04.58s,297.0191018,+44d19m38.98s,44.3274936,1757.23
Kepler-112 b,Kepler-112,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,8.408878,0.076,2.36,0.211,6.17,0.0194,2.58,0.0,123.82,809.0,0,0.04,3.485,0.02603,5544.0,0.84,0.78,-0.086,4.51,9.4,1.7551,19h47m55.47s,296.9811361,+43d12m34.93s,43.2097025,513.206
Kepler-112 c,Kepler-112,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,28.574263,0.172,2.4,0.214,6.35,0.02,2.52,0.0,24.25,538.0,0,0.08,4.963,0.02682,5544.0,0.84,0.78,-0.086,4.51,9.4,2.14286,19h47m55.47s,296.9811361,+43d12m34.93s,43.2097025,513.206
Kepler-1120 b,Kepler-1120,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,2.94902905,0.0369,1.38,0.123,2.48,0.0078,5.19,0.0,206.87,1027.0,0,0.0874,2.0393,0.01716,4904.0,0.74,0.78,-0.588,4.6,4.68,3.06505,19h23m39.47s,290.9144516,+42d17m11.59s,42.2865522,615.231
Kepler-1121 b,Kepler-1121,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,13.15141081,0.1187,1.91,0.17,4.31,0.0136,3.4,0.0,205.27,1008.0,0,0.744,5.6035,0.01078,6231.0,1.59,1.29,0.475,4.14,3.02,0.45721,19h51m08.77s,297.7865467,+47d53m10.16s,47.8861542,482.047
